Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, false, 21, 0.9387763896999999
10200, 8, false, 29, 1.0925079301
10200, 12, false, 32, 0.9381117501
10200, 16, false, 32, 1.0454482599
10200, 20, false, 34, 1.0240087101
10200, 24, false, 35, 0.9462236399999998
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, false, 22, 1.0147448599
20, 20, false, 24, 0.9789795399999999
50, 20, false, 26, 0.9369951997999999
100, 20, false, 28, 1.0036577801
1000, 20, false, 32, 0.86744071
10000, 20, false, 34, 1.1019715104999999
