Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, true, 23, 1.4617256598
10200, 8, true, 31, 1.3606558200999999
10200, 12, true, 31, 1.3267740899
10200, 16, true, 31, 1.3630043597000001
10200, 20, true, 31, 1.5803863299999998
10200, 24, true, 31, 1.5008064202
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, true, 28, 0.9802670699
20, 20, true, 29, 1.02432254
50, 20, true, 30, 0.9020823099000002
100, 20, true, 31, 1.0103154395999998
1000, 20, true, 31, 0.9239891201999999
10000, 20, true, 31, 0.9649060200999999
