Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, false, 29, 4.0302908299
10200, 8, false, 30, 4.120770840299999
10200, 12, false, 31, 4.0081475102
10200, 16, false, 35, 4.0136198098
10200, 20, false, 36, 4.1387811501
10200, 24, false, 37, 4.4322145997
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, false, 30, 3.8667275402000003
20, 20, false, 31, 3.949647040200001
50, 20, false, 33, 4.0458676402
100, 20, false, 33, 3.91057991
1000, 20, false, 35, 3.964867699900001
10000, 20, false, 36, 4.464812909899999
