Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, false, 27, 0.4302323899999999
10200, 8, false, 35, 0.39913080990000005
10200, 12, false, 37, 0.3839097898
10200, 16, false, 40, 0.4373728998
10200, 20, false, 41, 0.4542971800999999
10200, 24, false, 44, 0.43358369990000006
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, false, 29, 0.3767510099000001
20, 20, false, 35, 0.37761637
50, 20, false, 39, 0.34456573990000006
100, 20, false, 39, 0.3110177501
1000, 20, false, 40, 0.3172461801
10000, 20, false, 42, 0.37391015
