Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, false, 327, 74.1667467197
10200, 8, false, 534, 75.0631902599
10200, 12, false, 659, 73.0439969698
10200, 16, false, 740, 73.37457639
10200, 20, false, 823, 73.6873917299
10200, 24, false, 919, 75.4131502502
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, false, 358, 73.9374534698
20, 20, false, 491, 74.6721740301
50, 20, false, 638, 72.5886048502
100, 20, false, 590, 76.42196187959999
1000, 20, false, 753, 72.4710809202
10000, 20, false, 837, 73.56005851
