Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, true, 298, 97.6858168101
10200, 8, true, 389, 102.0512120599
10200, 12, true, 571, 102.07499408
10200, 16, true, 693, 76.17213208000001
10200, 20, true, 759, 73.6560177402
10200, 24, true, 793, 75.05098737019999
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, true, 620, 74.22114240990001
20, 20, true, 674, 74.59166933990001
50, 20, true, 719, 72.35873311
100, 20, true, 710, 71.1108665901
1000, 20, true, 746, 68.56424307019999
10000, 20, true, 760, 74.9355412203
