Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, false, 438, 11.7776968302
10200, 8, false, 546, 12.44205644
10200, 12, false, 561, 13.182268360400002
10200, 16, false, 563, 13.0932424497
10200, 20, false, 564, 13.06297419
10200, 24, false, 565, 13.1193632499
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, false, 261, 12.4052242703
20, 20, false, 305, 12.782051350200001
50, 20, false, 397, 12.665916970000001
100, 20, false, 464, 12.6877936499
1000, 20, false, 560, 12.584285460200002
10000, 20, false, 564, 11.7197160501
