Iteracje, Blad, Czy Afiniczna, Pary, Czas
10200, 4, true, 466, 11.997988829999999
10200, 8, true, 555, 12.70358262
10200, 12, true, 563, 13.100784359799999
10200, 16, true, 564, 13.0792592202
10200, 20, true, 565, 13.055577360000001
10200, 24, true, 566, 12.890807600299999
Iteracje, Blad, Czy Afiniczna, Pary, Czas
10, 20, true, 563, 11.4795519
20, 20, true, 564, 12.411821629899999
50, 20, true, 564, 12.8017566902
100, 20, true, 564, 12.6876867102
1000, 20, true, 565, 12.746032309899999
10000, 20, true, 565, 12.7807411198
